2021-10-08T03:03:28.537094400 3.05 1.95
2021-10-08T03:05:48.056355600 3.05 1.95
2021/10/08 03:32:20 3.05 46.95
2021/10/08 03:42:43 3.05 46.95
2021/10/08 17:37:01 3.05 119.95
2021/10/16 18:55:38 1.50 13.50
2021/10/25 17:27:08 1.50 48.50
2021/10/25 17:32:58 1.50 18.50
2021/10/25 17:42:37 1.50 13.50
2021/10/25 17:43:09 1.50 8.50
2021/10/25 17:53:03 1.50 8.50
2021/10/25 17:53:18 1.50 8.50
2021/10/25 18:03:35 1.50 8.50
2021/10/25 18:06:20 1.50 8.50
2021/10/25 18:06:49 1.50 8.50
2021/10/25 18:09:21 1.50 8.50
2021/10/25 18:09:42 1.50 7.00
2021/10/25 18:09:51 1.50 5.50
2021/10/25 18:10:04 1.50 4.00
2021/10/25 18:10:11 1.50 2.50
2021/10/25 18:18:48 1.50 8.50
2021/10/25 18:20:23 1.75 17.25
2021/10/25 18:20:36 0.85 16.40
2021/10/25 18:26:40 1.50 8.50
2021/10/25 18:27:17 1.50 8.50
2021/10/25 18:29:34 1.50 8.50
